,store,sido,gungo,store_address
557,세종종촌점,세종특별자치시,도움1로,"세종특별자치시   도움1로 74,  상가동 105호"
558,세종소담점,세종특별자치시,국책연구원1로,"세종특별자치시 국책연구원1로 15 상가에이동 106, 107호(소담동, 새샘마을9단지)"
559,세종도담점,세종특별자치시,보듬3로,"세종특별자치시   보듬3로 6,1층 107호(도담동,라온프라이빗시티Ⅱ)"
560,세종다정점,세종특별자치시,다정서로,"세종특별자치시 다정서로 60,(다정동,가온마을5단지) 상가1동 102호"
561,세종고운점,세종특별자치시,마음로,"세종특별자치시   마음로 151, 가락마을 9단지 상가 102호"
562,세마역점,경기도,오산시,"경기도 오산시  수목원로 602,  1층 109호, 110호(세교동)"
563,세교통복점,경기도,평택시,경기도 평택시  통복시장로 54번길 16-7
564,세교1호점,경기도,오산시대호로,"경기도   오산시대호로 131, 1층 107호(궐동, 대유프라자)"
565,성현점,서울특별시,관악구,서울특별시 관악구 봉천동 466-76
566,성연테크노벨리점,충청남도,서산시,"충청남도 서산시 성연면 충의로 696, 102호"
567,성신여대점,서울특별시,성북구,서울특별시 성북구 동선2가 145번지
568,성수1호점,서울특별시,성동구,서울특별시 성동구 상원1길 26 1층 108-2호 (성수동1가)
569,성서계명대점,대구광역시,달서구,대구광역시 달서구  서당로9안길 5
570,성산점,제주특별자치도,서귀포시,"제주특별자치도 서귀포시 성산읍 해맞이해안로 2660, 1층"
571,성산2동점,서울특별시,마포구,서울특별시 마포구  성암로7길 25
572,성사점,경기도,고양시,경기도 고양시 덕양구 성사동 702-9
573,성당본리점,대구광역시,달서구,"대구광역시 달서구  대명천로 96,  1층 굽네치킨"
574,성내3동점,서울특별시,강동구,서울특별시 강동구 성내동 433-14 1층
575,성내2동점,서울특별시,강동구,"서울특별시 강동구 성내동 25-1번지 이안A상가 110,111호"
576,성남동점,경기도,성남시,"경기도 성남시 중원구  산성대로 200, 2층 201호(성남동, 황제빌딩)"
577,성건중부점,경상북도,경주시,경상북도 경주시  북성로 98
578,선부3동점,경기도,안산시,경기도 안산시 단원구  선부3동 1116-14번지
579,선부1동점,경기도,안산시,경기도 안산시 단원구 달미로 96-1 101호 (선부동)
580,석촌점,서울특별시,송파구,서울특별시 송파구  송파대로45길 16
581,석수2동점,경기도,안양시,경기도 안양시 만안구  안양로 532번길 27
582,석관점,서울특별시,성북구,"서울특별시 성북구  돌곶이로 21, 1층"
583,서현점,경기도,성남시,"경기도 성남시 분당구  황새울로360번길 26, 2층 203호(서현동, 삼보프라자)"
584,서판교점,경기도,성남시,"경기도 성남시 분당구  운중로 178번길 1, 107호"
585,서충주신도시점,충청북도,충주시,"충청북도 충주시 대소원면 첨단산업4로 31, 1층"
586,서초3동점,서울특별시,서초구,서울특별시 서초구   반포대로22길 79-5
587,서초2동점,서울특별시,서초구,서울특별시 서초구  서운로 79
588,서초1동점,서울특별시,서초구,"서울특별시 서초구  사임당로 105, 일석상가 105호, 106호"
589,서천점,충청남도,서천군,충청남도 서천군 서천읍 사곡리 304-68
590,서창지구점,인천광역시,남동구,인천광역시 남동구 서창남순환로215번길 48 118호
591,서울대방점,서울특별시,동작구,서울특별시 동작구  대방동23길 42
592,서산예천점,충청남도,서산시,"충청남도  서산시   석남3로 7, 1층(석남동)"
593,서산동문점,충청남도,서산시,"충청남도 서산시  율지 19길 47-10, 1층"
594,서산대산점,충청남도,서산시,"충청남도 서산시 대산읍 충의로 1908, 1층"
595,서부전하점,울산광역시,동구,울산광역시 동구 봉수로 290 상가동 제비201호(e편한세상전하)
596,서부신시가지점,전라북도,전주시,전라북도 전주시 완산구  후곡길 23-11
597,서림점,서울특별시,관악구,서울특별시 관악구 신림동 96-60 한강뉴스타
598,서둔탑동점,경기도,수원시,경기도 수원시 권선구 탑동로 18 1층
599,서대문연희점,서울특별시,서대문구,"서울특별시 서대문구  연희로 170, 1층"
600,서교점,서울특별시,마포구,"서울특별시 마포구 잔다리로 74, 1층"
601,서곡지구점,전라북도,전주시,전라북도 전주시 완산구  서곡1길 1-4 1층
602,서강점,서울특별시,마포구,"서울특별시 마포구  독막로22길 28,1층"
603,새솔동점,경기도,화성시,"경기도 화성시  수노을1로191,4동 102호"
604,상주냉림무양점,경상북도,상주시,경상북도 상주시  냉림2길 31-3
605,상일점,서울특별시,강동구,서울특별시 강동구 상일동 237번지
606,상왕십리역점,서울특별시,성동구,"서울특별시 성동구  왕십리로 410, 센트라스 상가 L동"
607,상암점,서울특별시,마포구,서울특별시 마포구 상암동 30-1번지 형제빌딩 103호
608,상무2호점,광주광역시,서구,광주광역시 서구  화정로85번길 30-1
609,상동하당점,전라남도,목포시,전라남도 목포시  상리로15번길 15
610,상동점,경기도,부천시,"경기도 부천시  소향로 37번길 19, 1층 122, 123호"
611,상도1호점,서울특별시,동작구,서울특별시 동작구 상도동 436
612,상대원점,경기도,성남시,경기도 성남시 중원구  희망로 324
613,상계보람점,서울특별시,노원구,서울특별시 노원구  노원로34길 66 1층(상계동)
614,"상계6,7동점",서울특별시,노원구,서울특별시 노원구 상계동 728-3 주공6단지 상가 101호
615,상.중동점,대구광역시,수성구,대구광역시 수성구  상화로66
616,삼학자유점,전라남도,목포시,전라남도 목포시  둥근섬로 48-1
617,삼천포점,경상남도,사천시,경상남도 사천시 벌리동 420-8번지
618,삼척점,강원도,삼척시,강원도 삼척시 대학로 40
619,삼전점,서울특별시,송파구,"서울특별시 송파구  백제고분로21길 20, 1층 102호"
620,삼송1호점,경기도,고양시,"경기도 고양시 덕양구  동산1로1길 23-23,  102호(동산동)"
621,삼성2동점,서울특별시,강남구,"서울특별시 강남구  삼성로103길 12, 123"
622,삼산2동점,인천광역시,부평구,인천광역시 부평구 삼산동 453-1번지
623,삼산1동점,인천광역시,부평구,인천광역시 부평구 평천로 389
624,산북소룡점,전라북도,군산시,"전라북도 군산시  원산북2길 37, 좌측 1호(산북동)"
625,산본1동점,경기도,군포시,"경기도 군포시 군포로745번길 45, 1층"
626,산남성화점,충청북도,청주시,"충청북도 청주시 서원구  두꺼비로27번길 5-11, 102호"
627,산곡4동점,인천광역시,부평구,"인천광역시 부평구  원길로11번길 33, 1층"
628,산곡2동점,인천광역시,부평구,"인천광역시 부평구  화랑북로11번길 38, 1층"
629,사창사직2점,충청북도,청주시,충청북도 청주시 서원구  창신로25번길 15 102호(사창동)
630,사동계양점,경상북도,경산시,경상북도 경산시 장산로 257 1층 (사동)
631,사당2동점,서울특별시,동작구,"서울특별시 동작구  동작대로35길 46,  이수푸르지오 더 프레티움 근린생활시설 단지 내 상가 105호(사당동)"
632,사당1동점,서울특별시,동작구,서울특별시 동작구 사당동 1038-12
633,사2동점,경기도,안산시,"경기도 안산시 상록구  감골로 33, 101호"
634,비전2동점,경기도,평택시,경기도 평택시 비전2동 272-7
635,비래가양점,대전광역시,동구,대전광역시 동구 흥룡로 79(가양동)
636,불현점,경기도,동두천시,"경기도 동두천시  평화로 2328, 가운데칸"
637,불로동점,인천광역시,서구,인천광역시 서구 불로동 308번지
638,불광1동점,서울특별시,은평,"서울특별시 은평   불광로 114, 1층(불광동)"
639,분당동점,경기도,성남시,경기도 성남시 분당구 분당동 96번지
640,북아현점,서울특별시,서대문구,"서울특별시 서대문구  북아현로1길 50 ,상가동 106호"
641,북변사우점,경기도,김포시,경기도 김포시 사우동 1066번지
642,북가좌1호점,서울특별시,서대문구,서울특별시 서대문구  증가로 220-1
643,부흥달안점,경기도,안양시,"경기도 안양시 동안구  동안로 194, 1층 117호"
644,부평역점,인천광역시,부평구,"인천광역시 부평구  부평문화로 107-3, 1층"
645,부평4동점,인천광역시,부평구,"인천광역시 부평구  주부토로 109, 1층(일부호)"
646,부천원종2동점,경기도,부천시,경기도 부천시 오정구 원종동 224-8번지
647,부천원미점,경기도,부천시,경기도 부천시 원미로 137
648,부천남부역점,경기도,부천시,"경기도  부천시  성주로 245, 102호(심곡본동, LG아트빌)"
649,부여점,충청남도,부여군,충청남도 부여군 부여읍 중앙로5번길 24-10
650,부안읍점,전라북도,부안군,전라북도 부안군 부안읍 학동길 21-1
651,부산화명점,부산광역시,북구,부산광역시 북구 화명3동 2287-1 리버사이드빌딩 107-1호
652,부산학장점,부산광역시,사상구,부산광역시 사상구  대동로 147-3
653,부산하단점,부산광역시,사하구,부산광역시 사하구 하신번영로 304 (하단2동)
654,부산토곡점,부산광역시,연제구,부산광역시 연제구  과정로 132번길 50
655,부산초읍점,부산광역시,부산진구,부산광역시 부산진구  성지로 104번길 46
656,부산초량점,부산광역시,동구,부산광역시 동구  초량로 59
657,부산청학점,부산광역시,영도구,부산광역시 영도구 청학동 신도브래뉴 상가 112호
658,부산지사점,부산광역시,강서구,"부산광역시 강서구  과학산단로 334번 나길 21,  1층"
659,부산주례점,부산광역시,사상구,부산광역시 사상구  양지로 8번길 45-15
660,부산주례2호점,부산광역시,사상구,부산광역시 사상구 주례동 80-29번지 1층
661,부산좌동점,부산광역시,해운대구,부산광역시 해운대구  좌동순환로 275
662,부산전포점,부산광역시,부산진구,부산광역시 부산진구  중앙대로802 1층 104호 (전포동)
663,부산재송점,부산광역시,해운대구,부산광역시 해운대구  해운대로143번길 51
664,부산장전점,부산광역시,금정구,부산광역시 금정구  장전온천천로 73번길 6
665,부산장림점,부산광역시,사하구,부산광역시 사하구  다대로320번길 25
666,부산우동점,부산광역시,해운대구,부산광역시 해운대구  우동1로 45
667,부산우2동점,부산광역시,해운대구,"부산광역시 해운대구  해운대로 361, 103호"
668,부산온천점,부산광역시,동래구,부산광역시 동래구  중앙대로 1335번길 21
669,부산엄궁점,부산광역시,사상구,부산광역시 사상구  엄궁북로 4번길 7
670,부산양정점,부산광역시,부산진구,"부산광역시 부산진구 동평로406번길 33, 1층(양정동)"
671,부산안락점,부산광역시,동래구,부산광역시 동래구  충렬대로 457번길 21
672,부산수정점,부산광역시,동구,부산광역시 동구  홍곡로 74
673,부산수영점,부산광역시,수영구,"부산광역시 수영구  수영로741번길 46,  218동 104호(수영동, 수영협성르네상스타운)"
674,부산수민점,부산광역시,동래구,부산광역시 동래구 수안동 34-1번지 새동래상가 6동 104호
675,부산송도점,부산광역시,서구,부산광역시 서구  암남공원로 27
676,부산서동점,부산광역시,금정구,부산광역시 금정구 서곡로 34
677,부산사직점,부산광역시,동래구,부산광역시 동래구 사직1동 47-23번지
678,부산부전점,부산광역시,부산진구,"부산광역시 부산진구  새싹로 37, 1층 101호(부전동)"
679,부산부암점,부산광역시,부산진구,부산광역시  부산진구   백양순환로 137-1
680,부산부곡점,부산광역시,금정구,부산광역시 금정구  중앙대로1706번길 15
681,부산부곡2호점,부산광역시,금정구,부산광역시 금정구  서동로36 (부곡동)
682,부산범천점,부산광역시,부산진구,부산광역시 부산진구 범일로192번길54
683,부산범일점,부산광역시,동구,"부산광역시 동구  중앙대로 514, 1동 1층 103호"
684,부산반여점,부산광역시,해운대구,부산광역시 해운대구  선수촌로 162-1
685,부산반여2호점,부산광역시,해운대구,부산광역시 해운대구  재반로 242번길 29-70
686,부산반송점,부산광역시,해운대구,"부산광역시 해운대구  윗반송로31번길 113-11,1층 (반송동)"
687,부산문현점,부산광역시,남구,부산광역시 남구 문현1동 13-63번지
688,부산명지점,부산광역시,강서구,부산광역시 강서구  명지오션시티4로 90 102호 (명지동)
689,부산명륜점,부산광역시,동래구,"부산광역시 동래구  명륜로 206 , 1층"
690,부산망미점,부산광역시,수영구,부산광역시 수영구 과정로41번길 45 (부산광역시 수영구 망미동 445-2)
691,부산만덕점,부산광역시,북구,"부산광역시 북구  만덕2로44번길72, 106동 106호"
692,부산동삼점,부산광역시,영도구,부산광역시 영도구  동삼로 79
693,부산덕포점,부산광역시,사상구,부산광역시 사상구  삼덕로 72-1
694,부산덕천점,부산광역시,북구,부산광역시 북구 덕천1동 408-18번지
695,부산대연점,부산광역시,남구,부산광역시 남구  못골로41번길 13
696,부산대신점,부산광역시,서구,부산광역시 서구 서대신동3가 279-14번지 2통 4반
697,부산당리점,부산광역시,사하구,부산광역시 사하구  다대로 4
698,부산당감점,부산광역시,부산진구,부산광역시 부산진구  당감서로 118-1
699,부산다대점,부산광역시,사하구,부산광역시 사하구 다대1동 933-12번지
700,부산남항점,부산광역시,영도구,부산광역시  영도구   절영로93번길 25-1
701,부산남천점,부산광역시,수영구,"부산광역시 수영구 (남천동) 수영로408번길 65, 상가동 2호"
702,부산남산점,부산광역시,금정구,부산광역시 금정구  남산로37번길 60
703,부산낙민점,부산광역시,동래구,"부산광역시 동래구 안남로 69, 1층"
704,부산기장점,부산광역시,기장군,부산광역시 기장군 기장읍 차성동로 161
705,부산금곡점,부산광역시,북구,부산광역시 북구  효열로 207(금곡동)
706,부산구포점,부산광역시,북구,부산광역시 북구  시랑로7번길 4
707,부산구서점,부산광역시,금정구,부산광역시 금정구 구서2동 184-23번지
708,부산괴정점,부산광역시,사하구,부산광역시 사하구 괴정동 929번지
709,부산괴정2호점,부산광역시,사하구,부산광역시 사하구  사리로 42
710,부산거제점,부산광역시,연제구,"부산광역시 연제구 중앙대로 1167, 105호"
711,부산개금점,부산광역시,부산진구,부산광역시 부산진구 개금3동 470-8번지
712,부산감천점,부산광역시,사하구,부산광역시 사하구  감천로 69
713,부산감전점,부산광역시,사상구,"부산광역시 사상구  괘감로 108-1, 1층"
714,부산감만점,부산광역시,남구,부산광역시 남구  우암로 79번길 1
715,부산가야점,부산광역시,부산진구,부산광역시 부산진구  가야대로 552번길 135
716,부개2동점,인천광역시,부평구,인천광역시 부평구 부개동 124-51번지
717,봉일천점,경기도,파주시,경기도 파주시 조리읍 봉일천리 142-3번지
718,봉동점,전라북도,완주군,전라북도 완주군 봉동읍 완주산단8로 24
719,봉담1호점,경기도,화성시,"경기도 화성시 봉담읍 상봉길 31, 지맨프라자 120호,124호"
720,본오2동점,경기도,안산시,경기도 안산시 상록구  본오로9길 6
721,본동월성2동점,대구광역시,달서구,"대구광역시 달서구 와룡로5길11,1층(본동)"
722,복대개신점,충청북도,청주시,"충청북도 청주시 흥덕구  풍산로147번길 1, 1층 103호"
723,보성읍점,전라남도,보성군,전라남도 보성군 보성읍 중앙로96-1
724,보령동대점,충청남도,보령시,충청남도 보령시 동대동 476-4번지
725,보라매점,서울특별시,관악구,"서울특별시 관악구  보라매로3길 3 , 1,2층"
726,병점2동점,경기도,화성시,"경기도 화성시  병점2로 65,  107호(병점동, 우남프라자)"
727,별내2호점,경기도,남양주시,경기도 남양주시 별내3로 249 상가동 107호 (별내동)
728,별내1호점,경기도,남양주시,경기도 남양주시  별내3로92
729,"범어1,2,3동점",대구광역시,수성구,대구광역시 수성구  상록로 45 (1층 범어동)
730,번동점,서울특별시,강북구,"서울특별시 강북구 번동 덕릉로126, 우일빌딩 1층"
731,백석1동점,경기도,고양시,"경기도 고양시 일산동구  강석로 33, 104호(백석동, 대우IAAN)"
732,배방점,충청남도,아산시,충청남도 아산시 배방읍 모산로 136
733,배곧캠퍼스점,경기도,시흥시,경기도 시흥시 서울대학로264번길 26-32 1층 107호 (배곧동)
734,배곧신도시점,경기도,시흥시,경기도 시흥시  배곧4로30 배곧타운116호
735,방화역점,서울특별시,강서구,서울특별시 강서구 방화동 830-1 에어뷰오피스텔2 101호
736,방학1동점,서울특별시,도봉구,"서울특별시 도봉구  방학로 2길 77, 1층"
737,방이점,서울특별시,송파구,서울특별시 송파구  가락로 267
738,방배4동점,서울특별시,서초구,"서울특별시 서초구  방배로32길 8, 1층 (조일빌딩)"
739,방배2동점,서울특별시,서초구,"서울특별시 서초구  방배천로 16길 11-18 , 1층"
740,방림양림점,광주광역시,남구,"광주광역시 남구  용대로 183번길 20, 1층"
741,반포1동점,서울특별시,서초구,서울특별시 서초구 반포1동 745 금성빌딩 1층
742,반월점,경기도,화성시,"경기도 화성시   효행로1265번길 17,  101호(반월동)"
743,민락점,경기도,의정부시,경기도 의정부시 민락로 195 1층 140호 (민락동)
744,민락광안1동점,부산광역시,수영구,부산광역시 수영구 민락동 167-1번지
745,민락2지구점,경기도,의정부시,경기도 의정부시  용민로 249 골든타워 101호
746,미아1호점,서울특별시,강북구,"서울특별시 강북구  삼양로24길 19 102동 1층 103호 (미아동, 현대성우아파트)"
747,미성점,서울특별시,관악구,서울특별시 관악구  난우길43
748,미사수변점,경기도,하남시,"경기도 하남시  미사강변중앙로 111번길 26, 1층"
749,미사1호점,경기도,하남시,경기도 하남시  미사강변북로30번길 106 1층 (망월동)
750,미금점,경기도,성남시,경기도 성남시 분당구 미금일로74번길 5 1층 (구미동)
751,문화신풍점,전라북도,군산시,전라북도 군산시 대학로 120-1
752,문정점,서울특별시,송파구,서울특별시 송파구  동남로6길 41-10
753,문산점,경기도,파주시,경기도 파주시 문산읍 독산로 31-1
754,문막점,강원도,원주시,강원도 원주시 문막읍 왕건로 37
755,문래점,서울특별시,영등포구,서울특별시 영등포구 선유로3길 10
756,문경새재점,경상북도,문경시,경상북도 문경시 문경읍 주흘1길 25
757,무주구천동점,전라북도,무주군,전라북도 무주군 설천면 구천동로 1050
758,무전북신점,경상남도,통영시,경상남도 통영시  여황로 399-4
759,무안읍점,전라남도,무안군,"전라남도 무안군 무안읍 불무로20,1층"
760,무안남악점,전라남도,무안군,전라남도 무안군 남악4로 50 111호 (골든스위트)
761,무실점,강원도,원주시,"강원도 원주시  만대공원길 50, 111호"
762,목포이로점,전라남도,목포시,"전라남도 목포시  삼학로 331, 금호상가102호"
763,목포용해점,전라남도,목포시,전라남도 목포시  포미로10번길 8
764,목포연산북항점,전라남도,목포시,전라남도 목포시 산정동 1766-9
765,목천읍점,충청남도,천안시,충청남도 천안시 동남구 목천읍 신계리 422번지 동우상가 120호
766,목감점,경기도,시흥시,"경기도 시흥시  목감우회로 39, 118호"
767,목4동점,서울특별시,양천구,"서울특별시 양천구 목동중앙남로12,1층 (목동)"
768,명지국제신도시점,부산광역시,강서구,부산광역시 강서구 명지동 3412-2 정우빌딩 2차 1층 114호
769,명일점,서울특별시,강동구,서울특별시 강동구 명일동 342-1번지 105호
770,면목점,서울특별시,중랑구,서울특별시 중랑구 면목동 657-54
771,면목본동점,서울특별시,중랑구,서울특별시 중랑구 면목본동 412-1
772,매탄3동점,경기도,수원시,경기도 수원시 영통구  인계로270번길 11-3
773,매탄1동점,경기도,수원시,경기도 수원시 영통구  매여울로 49
774,매곡오치점,광주광역시,북구,"광주광역시 북구  매곡로 76, 1층(매곡동)"
775,망포점,경기도,수원시,"경기도 수원시 영통구  영통로 127, 102호"
776,망원1동점,서울특별시,마포구,"서울특별시 마포구  희우정로77, 상가동 102호"
777,망우본동점,서울특별시,중랑구,"서울특별시 중랑구  용마산로 118길 63, 1층"
778,만수2호점,인천광역시,남동구,인천광역시 남동구  만수서로21번길 4
779,만수1호점,인천광역시,남동구,"인천광역시 남동구  장승로 14, 창대아트빌"
780,마포도화점,서울특별시,마포구,"서울특별시 마포구  도화4길 23,  1층 102호(도화동)"
781,마석점,경기도,남양주시,경기도 남양주시 화도읍 마석우리 357-7
782,마산회원점,경상남도,창원시,"경상남도 창원시 마산회원구 회원동서로 10  1층 101호 (회원동, 중앙캐스빌)"
783,마산점,경기도,김포시,경기도 김포시  김포한강 8로 162번길 10 (마산동)
784,마산월영점,경상남도,창원시,경상남도 창원시 마산합포 월영동 610-1
785,마산양덕점,경상남도,창원시,경상남도 창원시 마산회원구  양덕로 140
786,마산삼계점,경상남도,창원시,경상남도  창원시 마산회원 내서읍 삼계로 56
787,마산산호점,경상남도,창원시,경상남도 창원시 마산합포구  용마로 90 1층 104호
788,마산내서점,경상남도,창원시,경상남도 창원시 마산회원 내서읍 중리 337-1번지
789,마산구암점,경상남도,창원시,경상남도 창원시 마산회원  구암북1길 124
790,마두점,경기도,고양시,"경기도 고양시 일산동구  강송로 181,  117호, 118호(마두동)"
791,마곡나루역점,서울특별시,강서구,"서울특별시 강서구 마곡서로 133 714동 101호(마곡동, 마곡엠밸리7단지)"
792,마곡1호점,서울특별시,강서구,"서울특별시 강서구  공항대로 140, 1205동 102-2호(마곡동, 마곡"
793,등촌3동점,서울특별시,강서구,"서울특별시  강서구  강서로56길 64,  1층 108, 109호(등촌동, 마곡루나플라체)"
794,등촌2동점,서울특별시,강서구,서울특별시 강서구  등촌로53길 13
795,둔촌2동점,서울특별시,강동구,서울특별시 강동구  천호대로 198길 12 (둔촌동)
796,둔산갤러리아점,대전광역시,서구,"대전광역시 서구 둔산동 1088번지 1층 104, 105호"
797,둔내점,강원도,횡성군,강원도 횡성군 둔내면 고원로 433
798,동해북삼점,강원도,동해시,강원도 동해시 동회동  66-4 동보상가 나동 4호
799,동판교점,경기도,성남시,경기도 성남시 분당구 삼평동 738번지  봇들마을 상가 에이동 105호
800,동탄영천점,경기도,화성시,경기도 화성시  지산2길 26
801,동탄역점,경기도,화성시,"경기도  화성시  동탄광역환승로 63,  동탄역 반도유보라 아이비파크 106동 115호"
802,동탄목동점,경기도,화성시,"경기도 화성시  왕배산1길15,1층 전부호(목동)"
803,동탄8동점,경기도,화성시,"경기도 화성시  동탄대로4길 17,  지1층 112호(장지동, 금호어울림레이크)"
804,동탄3동점,경기도,화성시,"경기도 화성시  동탄원천로 289-10, 가상가동 101호 (능동, 동탄능동마을주공아파트)"
805,동탄1동점,경기도,화성시,경기도 화성시 반송동 24-3
806,동춘점,인천광역시,연수구,"인천광역시 연수구  봉재산로 36번안길 22,1층"
807,동천용강점,경상북도,경주시,"경상북도 경주시  동천로 39,1층 (동천동)"
808,동암점,인천광역시,부평구,인천광역시 부평구 십정동 487-2번지
809,동송점,강원도,철원군,"강원도 철원군 동송읍 금학로 205, 1층"
810,동서오동점,경상남도,창원시마산합포구,경상남도 창원시마산합포구  불종거리로 60
811,동삭센트럴점,경기도,평택시,"경기도 평택시  상서재로5길 15, 1층 118호 (동삭동, 상가)"
812,동백점,경기도,용인시,"경기도 용인시 기흥구  동백3로 11번길 33, 106호"
813,동대문역점,서울특별시,종로구,"서울특별시 종로구  종로 326, 1층(창신동)"
814,동광오거리점,강원도,춘천시,"강원도 춘천시  삭주로 206-1, 1층(후평동)"
815,독산3동점,서울특별시,금천구,"서울특별시 금천구 독산3동 문성로 4, 제비1호"
816,독산1동점,서울특별시,금천구,"서울특별시 금천구 벚꽃로 40, 114동 128호"
817,독립문점,서울특별시,서대문구,"서울특별시 서대문구  독립문로 16, 1층(영천동)"
818,"도화2,3동점",인천광역시,미추홀구,인천광역시 미추홀구  송림로251 창조프라자105호
819,도안가수원점,대전광역시,서구,"대전광역시 서구  원도안로 100, 101호"
820,도림점,서울특별시,영등포구,서울특별시 영등포구 도림동 144-73번지
821,도련봉개점,제주특별자치도,제주시,"제주특별자치도 제주시  삼봉로 115,  상가동 104호(도련일동, 미듬하나로맨션)"
822,도남점,제주특별자치도,제주시,제주특별자치도 제주시  신성로 70(도남동)
823,도곡2동점,서울특별시,강남구,"서울특별시 강남구 논현로34길20,1층 101호(도곡동)"
824,덕진금암점,전라북도,전주시덕진구,전라북도 전주시덕진구  조경단로 59
825,덕정점,경기도,양주시,경기도 양주시  고암길 154-12
826,대화점,경기도,고양시,경기도 고양시 일산서구  강성로214번길 16-10
827,대학동점,서울특별시,관악구,"서울특별시 관악구  호암로22길 37, 1층(신림동)"
828,대치2동점,서울특별시,강남구,서울특별시 강남구 대치2동 990-3
829,"대치1,4동점",서울특별시,강남구,"서울특별시 강남구  삼성로 229, 104호"
